[INFO ] [2022-05-12 13:49:34,649] Register - Step 01: Navigate to 'Register' page
[INFO ] [2022-05-12 13:50:04,728] Login - Step 01: Navigate to 'Login' page
[INFO ] [2022-05-12 13:52:56,435] Register - Step 01: Navigate to 'Register' page
[INFO ] [2022-05-12 13:52:57,198] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[INFO ] [2022-05-12 13:52:57,317] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[INFO ] [2022-05-12 13:52:57,395] Register - Step 04: Enter to Email textbox with value is 'afc8611@mail.vn'
[INFO ] [2022-05-12 13:52:57,491] Register - Step 05: Enter to Password textbox with value is '123456'
[INFO ] [2022-05-12 13:52:57,563] Register - Step 06: Enter to Confirm password textbox with value is '123456'
[INFO ] [2022-05-12 13:52:57,634] Register - Step 07: Click to 'Register' button
[INFO ] [2022-05-12 13:52:58,641] Register - Step 08: Verify register success message is displayed
[INFO ] [2022-05-12 13:52:58,708] Register - Step 09: Click to Logout link
[INFO ] [2022-05-12 13:52:59,544] Login - Step 01: Navigate to 'Login' page
[INFO ] [2022-05-12 13:53:00,137] Login - Step 02: Enter to Email textbox with value is ' afc8611@mail.vn'
[INFO ] [2022-05-12 13:53:00,227] Login - Step 03: Enter to Password textbox with value is ' 123456'
[INFO ] [2022-05-12 13:53:00,295] Login - Step 04: Click to Login button
[INFO ] [2022-05-12 13:53:01,112] Login - Step 025: Verify 'My account' link is displayed
[INFO ] [2022-05-12 13:53:01,190] Login - Step 06: Navigate to 'My account' page
[INFO ] [2022-05-12 13:53:01,722] Login - Step 07: Verify 'Customer Info page is displayed
[INFO ] [2022-05-12 23:16:33,626] Register - Step 01: Navigate to 'Register' page
[INFO ] [2022-05-12 23:16:34,497] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[INFO ] [2022-05-12 23:16:34,657] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[INFO ] [2022-05-12 23:16:34,751] Register - Step 04: Enter to Email textbox with value is 'afc1859@mail.vn'
[INFO ] [2022-05-12 23:16:34,877] Register - Step 05: Enter to Password textbox with value is '123456'
[INFO ] [2022-05-12 23:16:34,954] Register - Step 06: Enter to Confirm password textbox with value is '123456'
[INFO ] [2022-05-12 23:16:35,051] Register - Step 07: Click to 'Register' button
[INFO ] [2022-05-12 23:16:36,672] Register - Step 08: Verify register success message is displayed
[INFO ] [2022-05-12 23:16:36,755] Register - Step 09: Click to Logout link
[INFO ] [2022-05-12 23:16:37,590] Login - Step 01: Navigate to 'Login' page
[INFO ] [2022-05-12 23:16:38,277] Login - Step 02: Enter to Email textbox with value is ' afc1859@mail.vn'
[INFO ] [2022-05-12 23:16:38,418] Login - Step 03: Enter to Password textbox with value is ' 123456'
[INFO ] [2022-05-12 23:16:38,506] Login - Step 04: Click to Login button
[INFO ] [2022-05-12 23:16:39,534] Login - Step 025: Verify 'My account' link is displayed
[INFO ] [2022-05-12 23:16:39,630] Login - Step 06: Navigate to 'My account' page
[INFO ] [2022-05-12 23:16:40,272] Login - Step 07: Verify 'Customer Info page is displayed
[INFO ] [2022-05-13 08:22:49,907] Register - Step 01: Navigate to 'Register' page
[INFO ] [2022-05-13 08:22:50,652] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[INFO ] [2022-05-13 08:22:50,773] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[INFO ] [2022-05-13 08:22:50,861] Register - Step 04: Enter to Email textbox with value is 'afc5029@mail.vn'
[INFO ] [2022-05-13 08:22:50,973] Register - Step 05: Enter to Password textbox with value is '123456'
[INFO ] [2022-05-13 08:22:51,062] Register - Step 06: Enter to Confirm password textbox with value is '123456'
[INFO ] [2022-05-13 08:22:51,142] Register - Step 07: Click to 'Register' button
[INFO ] [2022-05-13 08:22:52,102] Register - Step 08: Verify register success message is displayed
[INFO ] [2022-05-13 08:22:52,170]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-05-13 08:22:52,177] Register - Step 09: Click to Logout link
[INFO ] [2022-05-13 08:22:53,047] Login - Step 01: Navigate to 'Login' page
[INFO ] [2022-05-13 08:22:55,340] Login - Step 02: Enter to Email textbox with value is ' afc5029@mail.vn'
[INFO ] [2022-05-13 08:22:55,421] Login - Step 03: Enter to Password textbox with value is ' 123456'
[INFO ] [2022-05-13 08:22:55,501] Login - Step 04: Click to Login button
[INFO ] [2022-05-13 08:22:56,399] Login - Step 05: Verify 'My account' link is displayed
[INFO ] [2022-05-13 08:22:56,482]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-05-13 08:22:56,482] Login - Step 06: Navigate to 'My account' page
[INFO ] [2022-05-13 08:22:57,114] Login - Step 07: Verify 'Customer Info page is displayed
[INFO ] [2022-05-13 08:22:57,190]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-05-14 13:21:33,521] Register - Step 01: Navigate to 'Register' page
[INFO ] [2022-05-14 13:21:34,399] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[INFO ] [2022-05-14 13:21:34,504] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[INFO ] [2022-05-14 13:21:34,570] Register - Step 04: Enter to Email textbox with value is 'afc1131@mail.vn'
[INFO ] [2022-05-14 13:21:34,661] Register - Step 05: Enter to Password textbox with value is '123456'
[INFO ] [2022-05-14 13:21:34,743] Register - Step 06: Enter to Confirm password textbox with value is '123456'
[INFO ] [2022-05-14 13:21:34,822] Register - Step 07: Click to 'Register' button
[INFO ] [2022-05-14 13:21:36,312] Register - Step 08: Verify register success message is displayed
[INFO ] [2022-05-14 13:21:36,372]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-05-14 13:21:36,373] Register - Step 09: Click to Logout link
[INFO ] [2022-05-14 13:21:37,611] Login - Step 01: Navigate to 'Login' page
[INFO ] [2022-05-14 13:21:38,388] Login - Step 02: Enter to Email textbox with value is ' afc1131@mail.vn'
[INFO ] [2022-05-14 13:21:38,484] Login - Step 03: Enter to Password textbox with value is ' 123456'
[INFO ] [2022-05-14 13:21:38,570] Login - Step 04: Click to Login button
[INFO ] [2022-05-14 13:21:39,816] Login - Step 05: Verify 'My account' link is displayed
[INFO ] [2022-05-14 13:21:39,886]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-05-14 13:21:39,887] Login - Step 06: Navigate to 'My account' page
[INFO ] [2022-05-14 13:21:40,655] Login - Step 07: Verify 'Customer Info page is displayed
[INFO ] [2022-05-14 13:21:40,752]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-05-17 09:55:30,121] Register - Step 01: Navigate to 'Register' page
[INFO ] [2022-05-17 09:55:30,954] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[INFO ] [2022-05-17 09:55:31,062] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[INFO ] [2022-05-17 09:55:31,137] Register - Step 04: Enter to Email textbox with value is 'afc1336@mail.vn'
[INFO ] [2022-05-17 09:55:31,237] Register - Step 05: Enter to Password textbox with value is '123456'
[INFO ] [2022-05-17 09:55:31,310] Register - Step 06: Enter to Confirm password textbox with value is '123456'
[INFO ] [2022-05-17 09:55:31,393] Register - Step 07: Click to 'Register' button
[INFO ] [2022-05-17 09:55:32,419] Register - Step 08: Verify register success message is displayed
[INFO ] [2022-05-17 09:55:32,483]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-05-17 09:55:32,484] Register - Step 09: Click to Logout link
[INFO ] [2022-05-17 09:55:33,535] Login - Step 01: Navigate to 'Login' page
[INFO ] [2022-05-17 09:55:34,629] Login - Step 02: Enter to Email textbox with value is ' afc1336@mail.vn'
[INFO ] [2022-05-17 09:55:34,704] Login - Step 03: Enter to Password textbox with value is ' 123456'
[INFO ] [2022-05-17 09:55:34,770] Login - Step 04: Click to Login button
[INFO ] [2022-05-17 09:55:35,563] Login - Step 05: Verify 'My account' link is displayed
[INFO ] [2022-05-17 09:55:35,635]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-05-17 09:55:35,635] Login - Step 06: Navigate to 'My account' page
[INFO ] [2022-05-17 09:55:36,520] Login - Step 07: Verify 'Customer Info page is displayed
[INFO ] [2022-05-17 09:55:36,598]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-05-17 10:01:30,699] Register - Step 01: Navigate to 'Register' page
[INFO ] [2022-05-17 10:01:31,696] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[INFO ] [2022-05-17 10:01:31,842] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[INFO ] [2022-05-17 10:01:31,935] Register - Step 04: Enter to Email textbox with value is 'afc9345@mail.vn'
[INFO ] [2022-05-17 10:01:32,030] Register - Step 05: Enter to Password textbox with value is '123456'
[INFO ] [2022-05-17 10:01:32,104] Register - Step 06: Enter to Confirm password textbox with value is '123456'
[INFO ] [2022-05-17 10:01:32,177] Register - Step 07: Click to 'Register' button
[INFO ] [2022-05-17 10:01:33,604] Register - Step 08: Verify register success message is displayed
[INFO ] [2022-05-17 10:01:33,658]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-05-17 10:01:33,659] Register - Step 09: Click to Logout link
[INFO ] [2022-05-17 10:01:34,895] Login - Step 01: Navigate to 'Login' page
[INFO ] [2022-05-17 10:01:35,646] Login - Step 02: Enter to Email textbox with value is ' afc9345@mail.vn'
[INFO ] [2022-05-17 10:01:35,718] Login - Step 03: Enter to Password textbox with value is ' 123456'
[INFO ] [2022-05-17 10:01:35,779] Login - Step 04: Click to Login button
[INFO ] [2022-05-17 10:01:36,859] Login - Step 05: Verify 'My account' link is displayed
[INFO ] [2022-05-17 10:01:36,924]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-05-17 10:01:36,924] Login - Step 06: Navigate to 'My account' page
[INFO ] [2022-05-17 10:01:37,650] Login - Step 07: Verify 'Customer Info page is displayed
[INFO ] [2022-05-17 10:01:37,713]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-05-17 10:33:05,017] Register - Step 01: Navigate to 'Register' page
[INFO ] [2022-05-17 10:33:05,733] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[INFO ] [2022-05-17 10:33:05,856] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[INFO ] [2022-05-17 10:33:05,937] Register - Step 04: Enter to Email textbox with value is 'afc6621@mail.vn'
[INFO ] [2022-05-17 10:33:06,031] Register - Step 05: Enter to Password textbox with value is '123456'
[INFO ] [2022-05-17 10:33:06,106] Register - Step 06: Enter to Confirm password textbox with value is '123456'
[INFO ] [2022-05-17 10:33:06,188] Register - Step 07: Click to 'Register' button
[INFO ] [2022-05-17 10:33:07,126] Register - Step 08: Verify register success message is displayed
[INFO ] [2022-05-17 10:33:07,184]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-05-17 10:33:07,185] Register - Step 09: Click to Logout link
[INFO ] [2022-05-17 10:33:08,266] Login - Step 01: Navigate to 'Login' page
[INFO ] [2022-05-17 10:33:08,828] Login - Step 02: Enter to Email textbox with value is ' afc6621@mail.vn'
[INFO ] [2022-05-17 10:33:08,901] Login - Step 03: Enter to Password textbox with value is ' 123456'
[INFO ] [2022-05-17 10:33:08,965] Login - Step 04: Click to Login button
[INFO ] [2022-05-17 10:33:09,799] Login - Step 05: Verify 'My account' link is displayed
[INFO ] [2022-05-17 10:33:09,873]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-05-17 10:33:09,873] Login - Step 06: Navigate to 'My account' page
[INFO ] [2022-05-17 10:33:10,483] Login - Step 07: Verify 'Customer Info page is displayed
[INFO ] [2022-05-17 10:33:10,571]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-05-17 10:38:10,185] Register - Step 01: Navigate to 'Register' page
[INFO ] [2022-05-17 10:38:10,867] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[INFO ] [2022-05-17 10:38:10,978] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[INFO ] [2022-05-17 10:38:11,067] Register - Step 04: Enter to Email textbox with value is 'afc2858@mail.vn'
[INFO ] [2022-05-17 10:38:11,166] Register - Step 05: Enter to Password textbox with value is '123456'
[INFO ] [2022-05-17 10:38:11,241] Register - Step 06: Enter to Confirm password textbox with value is '123456'
[INFO ] [2022-05-17 10:38:11,321] Register - Step 07: Click to 'Register' button
[INFO ] [2022-05-17 10:38:12,260] Register - Step 08: Verify register success message is displayed
[INFO ] [2022-05-17 10:38:12,409] Login - Step 01: Navigate to 'Login' page
[INFO ] [2022-05-17 10:46:55,141] Register - Step 01: Navigate to 'Register' page
[INFO ] [2022-05-17 10:46:55,850] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[INFO ] [2022-05-17 10:46:55,956] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[INFO ] [2022-05-17 10:46:56,034] Register - Step 04: Enter to Email textbox with value is 'afc1941@mail.vn'
[INFO ] [2022-05-17 10:46:56,137] Register - Step 05: Enter to Password textbox with value is '123456'
[INFO ] [2022-05-17 10:46:56,212] Register - Step 06: Enter to Confirm password textbox with value is '123456'
[INFO ] [2022-05-17 10:46:56,289] Register - Step 07: Click to 'Register' button
[INFO ] [2022-05-17 10:46:57,176] Register - Step 08: Verify register success message is displayed
[INFO ] [2022-05-17 10:46:57,316] Login - Step 01: Navigate to 'Login' page
[INFO ] [2022-05-17 10:49:45,769] Register - Step 01: Navigate to 'Register' page
[INFO ] [2022-05-17 10:49:46,461] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[INFO ] [2022-05-17 10:49:46,583] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[INFO ] [2022-05-17 10:49:46,678] Register - Step 04: Enter to Email textbox with value is 'afc6756@mail.vn'
[INFO ] [2022-05-17 10:49:46,785] Register - Step 05: Enter to Password textbox with value is '123456'
[INFO ] [2022-05-17 10:49:46,876] Register - Step 06: Enter to Confirm password textbox with value is '123456'
[INFO ] [2022-05-17 10:49:46,956] Register - Step 07: Click to 'Register' button
[INFO ] [2022-05-17 10:49:47,985] Register - Step 08: Verify register success message is displayed
[INFO ] [2022-05-17 10:49:48,125] Pre_Condition_Logout: Click to Logout link
[INFO ] [2022-05-17 10:49:49,124] Login - Step 01: Navigate to 'Login' page
[INFO ] [2022-05-17 10:49:49,784] Login - Step 02: Enter to Email textbox with value is ' afc6756@mail.vn'
[INFO ] [2022-05-17 10:49:49,882] Login - Step 03: Enter to Password textbox with value is ' 123456'
[INFO ] [2022-05-17 10:49:49,954] Login - Step 04: Click to Login button
[INFO ] [2022-05-17 10:49:50,795] Login - Step 05: Verify 'My account' link is displayed
[INFO ] [2022-05-17 10:49:50,871] Login - Step 06: Navigate to 'My account' page
[INFO ] [2022-05-17 10:49:51,458] Login - Step 07: Verify 'Customer Info page is displayed
[INFO ] [2022-05-17 10:52:41,868] Register - Step 01: Navigate to 'Register' page
[INFO ] [2022-05-17 10:52:42,531] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[INFO ] [2022-05-17 10:52:42,654] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[INFO ] [2022-05-17 10:52:42,747] Register - Step 04: Enter to Email textbox with value is 'afc4638@mail.vn'
[INFO ] [2022-05-17 10:52:42,844] Register - Step 05: Enter to Password textbox with value is '123456'
[INFO ] [2022-05-17 10:52:42,931] Register - Step 06: Enter to Confirm password textbox with value is '123456'
[INFO ] [2022-05-17 10:52:43,024] Register - Step 07: Click to 'Register' button
[INFO ] [2022-05-17 10:52:43,936] Register - Step 08: Verify register success message is displayed
[INFO ] [2022-05-17 10:52:44,065] Pre_Condition_Logout: Click to Logout link
[INFO ] [2022-05-17 10:52:44,863] Login - Step 01: Navigate to 'Login' page
[INFO ] [2022-05-17 10:52:45,445] Login - Step 02: Enter to Email textbox with value is ' afc4638@mail.vn'
[INFO ] [2022-05-17 10:52:45,516] Login - Step 03: Enter to Password textbox with value is ' 123456'
[INFO ] [2022-05-17 10:52:45,586] Login - Step 04: Click to Login button
[INFO ] [2022-05-17 10:52:46,414] Login - Step 05: Verify 'My account' link is displayed
[INFO ] [2022-05-17 11:18:21,288] Register - Step 01: Navigate to 'Register' page
[INFO ] [2022-05-17 11:18:22,115] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[INFO ] [2022-05-17 11:18:22,236] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[INFO ] [2022-05-17 11:18:22,309] Register - Step 04: Enter to Email textbox with value is 'afc5879@mail.vn'
[INFO ] [2022-05-17 11:18:22,412] Register - Step 05: Enter to Password textbox with value is '123456'
[INFO ] [2022-05-17 11:18:22,479] Register - Step 06: Enter to Confirm password textbox with value is '123456'
[INFO ] [2022-05-17 11:18:22,549] Register - Step 07: Click to 'Register' button
[INFO ] [2022-05-17 11:18:23,547] Register - Step 08: Verify register success message is displayed
[INFO ] [2022-05-17 11:18:23,692] Pre_Condition_Logout: Click to Logout link
[INFO ] [2022-05-17 11:18:24,487] Login - Step 01: Navigate to 'Login' page
[INFO ] [2022-05-17 11:18:25,156] Login - Step 02: Enter to Email textbox with value is ' afc5879@mail.vn'
[INFO ] [2022-05-17 11:18:25,231] Login - Step 03: Enter to Password textbox with value is ' 123456'
[INFO ] [2022-05-17 11:18:25,298] Login - Step 04: Click to Login button
[INFO ] [2022-05-17 11:18:26,189] Login - Step 05: Verify 'My account' link is displayed
[INFO ] [2022-05-17 17:02:19,937] Register - Step 01: Navigate to 'Register' page
